name,id,time,event
husband@have to rush to@base,0,4,"[1.762632197414806, 0, 0, 0]"
husband@have to rush to@base,0,7,"[6.462984723854287, 0, 0.8999999999999999, 0]"
husband@have to rush to@base,0,8,"[2.9377203290246765, 0, 2.3000000000000007, 0]"
husband@have to rush to@base,0,9,"[1.1750881316098707, 0, 2.600000000000001, 0]"
husband@have to rush to@base,0,10,"[0, 0, 1.5000000000000002, 0]"
husband@have to rush to@base,0,11,"[0, 0, 1.2, 0]"
husband@have to rush to@base,0,12,"[0, 0, 1.4000000000000001, 0]"
husband@have to rush to@base,0,13,"[0, 0, 0.30000000000000004, 0]"
husband@have to rush to@base,0,14,"[0, 0, 0.1, 0]"
husband@have to rush to@base,0,18,"[0, 0, 0.1, 0]"
husband@have to rush to@base,0,22,"[1.1750881316098707, 0, 0.5, 0]"
husband@have to rush to@base,0,24,"[0.5875440658049353, 0, 0.1, 0]"
reporters@saw@others,1,4,"[0.5875440658049353, 0, 0.30000000000000004, 0]"
reporters@saw@others,1,5,"[0, 0, 0.2, 0]"
reporters@saw@others,1,7,"[1.762632197414806, 0, 0.4, 0]"
reporters@saw@others,1,8,"[1.762632197414806, 0, 0.4, 0]"
reporters@saw@others,1,9,"[1.1750881316098707, 0, 1.3, 0]"
reporters@saw@others,1,10,"[0, 0, 0.4, 0]"
reporters@saw@others,1,11,"[0, 0, 0.5, 0]"
reporters@saw@others,1,12,"[0.5875440658049353, 0, 0.4, 0]"
reporters@saw@others,1,13,"[1.1750881316098707, 0, 0.4, 0]"
reporters@saw@others,1,14,"[0, 0, 0.30000000000000004, 0]"
reporters@saw@others,1,15,"[0, 0, 0.1, 0]"
reporters@saw@others,1,16,"[0, 0, 0.1, 0]"
reporters@saw@others,1,19,"[0, 0, 0.1, 0]"
reporters@saw@others,1,22,"[1.762632197414806, 0, 0.2, 0]"
reporters@saw@others,1,24,"[0, 0, 0.30000000000000004, 0]"
reporters@saw@others,1,26,"[0.5875440658049353, 0, 0.1, 0]"
shumard@fear@husband,2,7,"[4.700352526439482, 0, 0.4, 0]"
shumard@fear@husband,2,8,"[2.9377203290246765, 0, 1.8000000000000005, 0]"
shumard@fear@husband,2,9,"[1.1750881316098707, 0, 2.3000000000000007, 0]"
shumard@fear@husband,2,10,"[0, 0, 1.3, 0]"
shumard@fear@husband,2,11,"[0, 0, 1.2, 0]"
shumard@fear@husband,2,12,"[0, 0, 1.4000000000000001, 0]"
shumard@fear@husband,2,13,"[0, 0, 0.30000000000000004, 0]"
shumard@fear@husband,2,22,"[1.1750881316098707, 0, 0.5, 0]"
shumard@fear@husband,2,24,"[0.5875440658049353, 0, 0.1, 0]"
iranian forces@say@strike,3,4,"[1.762632197414806, 0, 0.6, 6.666666666666667]"
iranian forces@say@strike,3,5,"[0.5875440658049353, 0, 0.1, 0]"
iranian forces@say@strike,3,6,"[0.5875440658049353, 0, 0.30000000000000004, 0]"
iranian forces@say@strike,3,7,"[5.287896592244417, 0, 2.3000000000000007, 0]"
iranian forces@say@strike,3,8,"[1.1750881316098707, 0, 3.600000000000002, 0]"
iranian forces@say@strike,3,9,"[1.762632197414806, 0, 2.600000000000001, 0]"
iranian forces@say@strike,3,10,"[0, 0, 2.0000000000000004, 0]"
iranian forces@say@strike,3,11,"[0, 0, 2.0000000000000004, 0]"
iranian forces@say@strike,3,12,"[1.1750881316098707, 0, 2.600000000000001, 0]"
iranian forces@say@strike,3,13,"[1.1750881316098707, 0, 1.7000000000000004, 0]"
iranian forces@say@strike,3,14,"[0, 0, 1.8000000000000005, 0]"
