name,id,time,event
authorities@be come back to@iran s top general,0,6,"[0, 0, 0.1, 0]"
authorities@be come back to@iran s top general,0,7,"[5.287896592244417, 0, 2.0000000000000004, 0]"
authorities@be come back to@iran s top general,0,8,"[0.5875440658049353, 0, 1.4000000000000001, 0]"
authorities@be come back to@iran s top general,0,9,"[1.1750881316098707, 0, 3.3000000000000016, 0]"
authorities@be come back to@iran s top general,0,10,"[0, 0, 2.800000000000001, 0]"
authorities@be come back to@iran s top general,0,11,"[1.762632197414806, 0, 1.2, 6.666666666666667]"
authorities@be come back to@iran s top general,0,12,"[0.5875440658049353, 0, 2.1000000000000005, 6.666666666666667]"
authorities@be come back to@iran s top general,0,13,"[0.5875440658049353, 0, 1.5000000000000002, 0]"
authorities@be come back to@iran s top general,0,14,"[0, 0, 1.7000000000000004, 0]"
authorities@be come back to@iran s top general,0,15,"[0.5875440658049353, 0, 0.30000000000000004, 0]"
authorities@be come back to@iran s top general,0,16,"[1.1750881316098707, 0, 0.6, 0]"
authorities@be come back to@iran s top general,0,17,"[0, 0, 0.2, 0]"
authorities@be come back to@iran s top general,0,18,"[0, 0, 0.7999999999999999, 0]"
authorities@be come back to@iran s top general,0,20,"[0, 0, 0.5, 0]"
authorities@be come back to@iran s top general,0,22,"[1.1750881316098707, 0, 0.4, 0]"
authorities@be come back to@iran s top general,0,26,"[0, 0, 0.1, 0]"
sunday@be his first public statements since@soleimani,1,5,"[0.5875440658049353, 0, 0.2, 0]"
sunday@be his first public statements since@soleimani,1,6,"[0, 0, 0.4, 0]"
sunday@be his first public statements since@soleimani,1,7,"[4.700352526439482, 0, 2.400000000000001, 0]"
sunday@be his first public statements since@soleimani,1,8,"[1.1750881316098707, 0, 3.5000000000000018, 0]"
sunday@be his first public statements since@soleimani,1,9,"[0, 0, 3.5000000000000018, 0]"
sunday@be his first public statements since@soleimani,1,10,"[1.1750881316098707, 0, 1.4000000000000001, 0]"
sunday@be his first public statements since@soleimani,1,11,"[2.9377203290246765, 0, 4.100000000000001, 0]"
sunday@be his first public statements since@soleimani,1,12,"[2.3501762632197414, 0, 3.2000000000000015, 0]"
sunday@be his first public statements since@soleimani,1,13,"[1.1750881316098707, 0, 1.6000000000000003, 0]"
sunday@be his first public statements since@soleimani,1,14,"[0, 0, 0.5, 0]"
sunday@be his first public statements since@soleimani,1,16,"[1.1750881316098707, 0, 0.5, 0]"
sunday@be his first public statements since@soleimani,1,17,"[0, 0, 0.4, 0]"
sunday@be his first public statements since@soleimani,1,18,"[0.5875440658049353, 0, 0.4, 0]"
sunday@be his first public statements since@soleimani,1,19,"[0, 0, 0.2, 0]"
sunday@be his first public statements since@soleimani,1,20,"[0, 0, 0.2, 0]"
sunday@be his first public statements since@soleimani,1,24,"[0, 0, 0.1, 0]"
sunday@be his first public statements since@soleimani,1,26,"[0, 0, 0.30000000000000004, 0]"
sunday@be his first public statements since@soleimani,1,27,"[1.1750881316098707, 0, 0, 0]"
sunday@be his first public statements since@soleimani,1,28,"[0, 0, 0.1, 0]"
sunday@be his first public statements since@soleimani,1,29,"[0, 0, 0.1, 0]"
others@fear@iran,2,5,"[0, 0, 0.30000000000000004, 0]"
others@fear@iran,2,6,"[0.5875440658049353, 0, 0.1, 0]"
others@fear@iran,2,7,"[36.427732079905965, 0, 9.599999999999982, 6.666666666666667]"
others@fear@iran,2,8,"[15.863689776733262, 0, 17.399999999999977, 0]"
others@fear@iran,2,9,"[9.400705052878966, 0, 24.800000000000082, 6.666666666666667]"
others@fear@iran,2,10,"[8.225616921269093, 0, 23.30000000000006, 0]"
others@fear@iran,2,11,"[8.81316098707403, 0, 14.399999999999965, 13.333333333333334]"
others@fear@iran,2,12,"[2.9377203290246765, 0, 16.19999999999996, 0]"
others@fear@iran,2,13,"[4.700352526439482, 0, 9.399999999999983, 0]"
others@fear@iran,2,14,"[3.5252643948296116, 0, 9.699999999999982, 0]"
others@fear@iran,2,15,"[1.1750881316098707, 0, 5.4999999999999964, 0]"
others@fear@iran,2,16,"[2.3501762632197414, 0, 5.1999999999999975, 0]"
others@fear@iran,2,17,"[0, 0, 2.400000000000001, 0]"
others@fear@iran,2,18,"[0, 0, 5.4999999999999964, 0]"
others@fear@iran,2,19,"[0, 0, 0.6, 0]"
others@fear@iran,2,20,"[1.1750881316098707, 0, 4.999999999999998, 0]"
others@fear@iran,2,21,"[0.5875440658049353, 0, 1.2, 0]"
others@fear@iran,2,22,"[1.1750881316098707, 0, 2.3000000000000007, 0]"
others@fear@iran,2,23,"[0, 0, 0.2, 0]"
others@fear@iran,2,24,"[0.5875440658049353, 0, 0.6, 0]"
others@fear@iran,2,26,"[1.1750881316098707, 0, 1.8000000000000005, 0]"
others@fear@iran,2,27,"[0, 0, 0.6, 0]"
others@fear@iran,2,28,"[0, 0, 0.5, 0]"
others@fear@iran,2,29,"[0, 0, 0.1, 0]"
others@fear@iran,2,30,"[2.3501762632197414, 0, 0.5, 0]"
others@fear@iran,2,31,"[0, 0, 0.2, 0]"
many@saw@soleimani,3,5,"[1.1750881316098707, 0, 0.2, 0]"
many@saw@soleimani,3,6,"[0, 0, 0.4, 0]"
many@saw@soleimani,3,7,"[5.287896592244417, 0, 2.600000000000001, 0]"
many@saw@soleimani,3,8,"[1.762632197414806, 0, 3.5000000000000018, 0]"
many@saw@soleimani,3,9,"[0, 0, 4.300000000000001, 0]"
many@saw@soleimani,3,10,"[1.1750881316098707, 0, 1.7000000000000004, 0]"
many@saw@soleimani,3,11,"[1.762632197414806, 0, 3.700000000000002, 0]"
many@saw@soleimani,3,12,"[0, 0, 2.500000000000001, 0]"
many@saw@soleimani,3,13,"[1.762632197414806, 0, 1.7000000000000004, 0]"
many@saw@soleimani,3,14,"[0, 0, 0.7999999999999999, 0]"
many@saw@soleimani,3,15,"[0, 0, 0.2, 0]"
many@saw@soleimani,3,16,"[1.1750881316098707, 0, 0.6, 0]"
many@saw@soleimani,3,17,"[0, 0, 0.4, 6.666666666666667]"
many@saw@soleimani,3,19,"[0, 0, 0.1, 0]"
many@saw@soleimani,3,20,"[0.5875440658049353, 0, 0.30000000000000004, 0]"
many@saw@soleimani,3,21,"[0, 0, 0.1, 0]"
many@saw@soleimani,3,22,"[0, 0, 0.1, 0]"
