name,id,time,event
nuclear weapons@have be the state of@israel,0,2,"[1.1750881316098707, 0, 0, 0]"
nuclear weapons@have be the state of@israel,0,3,"[0, 0, 0.2, 0]"
nuclear weapons@have be the state of@israel,0,4,"[1.762632197414806, 0, 0.5, 0]"
nuclear weapons@have be the state of@israel,0,7,"[0, 0, 0.2, 0]"
nuclear weapons@have be the state of@israel,0,8,"[0, 0, 0.1, 0]"
nuclear weapons@have be the state of@israel,0,9,"[0, 0, 0.6, 0]"
nuclear weapons@have be the state of@israel,0,10,"[0, 0, 0.30000000000000004, 0]"
nuclear weapons@have be the state of@israel,0,11,"[0.5875440658049353, 0, 0, 0]"
nuclear weapons@have be the state of@israel,0,14,"[1.1750881316098707, 0, 0.1, 0]"
nuclear weapons@have be the state of@israel,0,16,"[0, 0, 0.2, 0]"
nuclear weapons@have be the state of@israel,0,18,"[0, 0, 0.2, 0]"
nuclear weapons@have be the state of@israel,0,20,"[0, 0, 0.2, 0]"
nuclear weapons@have be the state of@israel,0,27,"[0, 0, 0.1, 0]"
nuclear weapons@have be the state of@israel,0,29,"[0, 0, 0.2, 0]"
attack@saw@russia,1,2,"[9.400705052878966, 0, 0.4, 0]"
attack@saw@russia,1,3,"[0, 0, 0.7999999999999999, 0]"
attack@saw@russia,1,4,"[2.3501762632197414, 0, 0.5, 0]"
attack@saw@russia,1,6,"[0, 0, 0.2, 0]"
attack@saw@russia,1,7,"[1.1750881316098707, 0, 0.8999999999999999, 0]"
attack@saw@russia,1,8,"[2.3501762632197414, 0, 1.0999999999999999, 0]"
attack@saw@russia,1,9,"[3.5252643948296116, 0, 1.5000000000000002, 0]"
attack@saw@russia,1,10,"[0, 0, 0.8999999999999999, 0]"
attack@saw@russia,1,11,"[0, 0, 0.7, 0]"
attack@saw@russia,1,12,"[0.5875440658049353, 0, 0.30000000000000004, 0]"
attack@saw@russia,1,13,"[0, 0, 0.7, 0]"
attack@saw@russia,1,14,"[0, 0, 0.4, 0]"
attack@saw@russia,1,15,"[0, 0, 0.2, 0]"
attack@saw@russia,1,17,"[0, 0, 0.1, 0]"
attack@saw@russia,1,21,"[0, 0, 0.1, 0]"
attack@saw@russia,1,24,"[0, 0, 0.1, 0]"
attack@saw@russia,1,29,"[0, 0, 0.1, 0]"
attack@saw@russia,1,30,"[0, 0, 0.1, 0]"
nation@know@action,2,4,"[0.5875440658049353, 0, 0, 0]"
nation@know@action,2,7,"[0.5875440658049353, 0, 0.2, 0]"
nation@know@action,2,8,"[0, 0, 0.1, 0]"
nation@know@action,2,9,"[0, 0, 0.1, 0]"
nation@know@action,2,10,"[0, 0, 0.2, 0]"
nation@know@action,2,11,"[0, 0, 0.30000000000000004, 0]"
nation@know@action,2,13,"[0, 0, 0.2, 0]"
nation@know@action,2,14,"[0, 0, 0.1, 0]"
nation@know@action,2,15,"[0, 0, 0.1, 0]"
action@be@israel,3,2,"[1.1750881316098707, 0, 0, 0]"
action@be@israel,3,3,"[0, 0, 0.2, 0]"
action@be@israel,3,4,"[2.3501762632197414, 0, 0.5, 0]"
action@be@israel,3,7,"[0.5875440658049353, 0, 0.2, 0]"
action@be@israel,3,8,"[0, 0, 0.1, 0]"
action@be@israel,3,9,"[0, 0, 0.7, 0]"
action@be@israel,3,10,"[0, 0, 0.30000000000000004, 0]"
action@be@israel,3,11,"[0.5875440658049353, 0, 0.1, 0]"
action@be@israel,3,13,"[0, 0, 0.1, 0]"
action@be@israel,3,14,"[1.1750881316098707, 0, 0.2, 0]"
action@be@israel,3,15,"[0, 0, 0.1, 0]"
action@be@israel,3,16,"[0, 0, 0.2, 0]"
action@be@israel,3,18,"[0, 0, 0.2, 0]"
action@be@israel,3,27,"[0, 0, 0.1, 0]"
action@be@israel,3,29,"[0, 0, 0.2, 0]"
post@be one of@world s 20th largest nation,4,6,"[0, 0, 0.1, 0]"
post@be one of@world s 20th largest nation,4,7,"[1.1750881316098707, 0, 0, 0]"
post@be one of@world s 20th largest nation,4,8,"[0, 0, 0.1, 0]"
post@be one of@world s 20th largest nation,4,14,"[0, 0, 0.1, 0]"
post@be one of@world s 20th largest nation,4,22,"[0, 0, 0.1, 0]"
exercises@say@27,5,7,"[0, 0, 0.1, 0]"
exercises@say@27,5,8,"[0, 0, 0.1, 0]"
turn@be overthrow in@islamic republic,6,2,"[0.5875440658049353, 0, 0, 0]"
turn@be overthrow in@islamic republic,6,4,"[0.5875440658049353, 0, 0, 0]"
turn@be overthrow in@islamic republic,6,7,"[0.5875440658049353, 0, 0, 0]"
turn@be overthrow in@islamic republic,6,8,"[1.1750881316098707, 0, 0.4, 0]"
turn@be overthrow in@islamic republic,6,9,"[1.1750881316098707, 0, 0.2, 0]"
turn@be overthrow in@islamic republic,6,10,"[0, 0, 0.6, 0]"
turn@be overthrow in@islamic republic,6,11,"[0, 0, 0.1, 0]"
turn@be overthrow in@islamic republic,6,12,"[0, 0, 0.7999999999999999, 0]"
turn@be overthrow in@islamic republic,6,13,"[0, 0, 0.5, 0]"
turn@be overthrow in@islamic republic,6,14,"[0, 0, 0.30000000000000004, 0]"
turn@be overthrow in@islamic republic,6,16,"[0, 0, 0.6, 0]"
