name,id,time,event
ellen page@be wear@allsaints shirt,0,5,"[0.5, 0, 0.0625, 0]"
ellen page@be wear@allsaints shirt,0,9,"[0, 0, 0.0625, 0]"
ellen page@be wear@allsaints shirt,0,11,"[2.5, 0, 0.0625, 0]"
ellen page@be wear@allsaints shirt,0,15,"[0.5, 0, 0.3125, 0]"
ellen page@be wear@allsaints shirt,0,16,"[2.0, 0, 0.3125, 0]"
ellen page@be wear@allsaints shirt,0,22,"[0, 0, 0.0625, 0]"
ellen page@be wear@allsaints shirt,0,24,"[0, 0, 0.125, 0]"
ellen page@be wear@allsaints shirt,0,25,"[0, 0, 0.1875, 0]"
ellen page@be wear@allsaints shirt,0,30,"[0, 0, 0.0625, 0]"
ellen page@be wear@allsaints shirt,0,39,"[0.5, 0, 0, 0]"
ellen page@be wear@allsaints shirt,0,40,"[0, 0, 0.125, 0]"
ellen page@be wear@allsaints shirt,0,43,"[0, 0, 0.0625, 0]"
interview@say@police,1,5,"[1.0, 0, 1.0625, 0]"
interview@say@police,1,6,"[1.0, 0, 0.875, 0]"
interview@say@police,1,7,"[0.5, 0, 0.3125, 0]"
interview@say@police,1,8,"[1.5, 0, 1.5625, 0]"
interview@say@police,1,9,"[0.5, 0, 0, 0]"
interview@say@police,1,10,"[0, 0, 0.0625, 0]"
interview@say@police,1,11,"[0, 0, 0.1875, 0]"
interview@say@police,1,12,"[0, 0, 0.25, 0]"
interview@say@police,1,14,"[0, 0, 0.0625, 0]"
interview@say@police,1,15,"[0, 0, 1.0, 0]"
interview@say@police,1,16,"[0.5, 0, 1.375, 0]"
interview@say@police,1,17,"[2.0, 0, 2.25, 0]"
interview@say@police,1,18,"[3.5, 43.47826086956522, 5.0, 0]"
interview@say@police,1,19,"[0.5, 43.47826086956522, 3.375, 0]"
interview@say@police,1,20,"[3.5, 0, 5.375, 1.25]"
interview@say@police,1,21,"[3.5, 0, 4.75, 0]"
interview@say@police,1,22,"[1.0, 0, 3.125, 1.25]"
interview@say@police,1,23,"[1.5, 0, 4.6875, 0]"
interview@say@police,1,24,"[6.0, 0, 8.875, 0]"
interview@say@police,1,25,"[0.5, 0, 5.625, 0]"
interview@say@police,1,26,"[0.5, 0, 1.3125, 0]"
interview@say@police,1,27,"[1.0, 0, 0.25, 0]"
interview@say@police,1,28,"[0.5, 0, 0.75, 0]"
interview@say@police,1,29,"[0, 0, 0.75, 0]"
interview@say@police,1,30,"[0, 0, 0.1875, 0]"
interview@say@police,1,31,"[1.5, 0, 0.1875, 0]"
interview@say@police,1,32,"[0.5, 0, 0.5, 0]"
interview@say@police,1,33,"[0, 0, 0.125, 0]"
interview@say@police,1,35,"[0, 0, 0.25, 0]"
interview@say@police,1,37,"[0, 0, 0.0625, 0]"
interview@say@police,1,38,"[0.5, 0, 1.0625, 0]"
interview@say@police,1,39,"[0.5, 0, 3.875, 0]"
interview@say@police,1,40,"[0.5, 0, 1.5625, 0]"
interview@say@police,1,41,"[0, 0, 0.125, 0]"
interview@say@police,1,42,"[0, 0, 0.5625, 0]"
interview@say@police,1,43,"[0, 0, 0.5625, 0]"
interview@say@police,1,44,"[0.5, 0, 0.3125, 0]"
interview@say@police,1,45,"[1.5, 0, 0.75, 0]"
actor@be investigate@jena malone,2,5,"[0, 0, 0.375, 0]"
actor@be investigate@jena malone,2,6,"[2.0, 0, 0.5625, 0]"
