name,id,time,event
charges@have be drop against@jussie smollett,0,2,"[26.5, 0, 6.875, 0]"
charges@have be drop against@jussie smollett,0,3,"[11.5, 0, 8.1875, 0]"
charges@have be drop against@jussie smollett,0,4,"[11.0, 0, 5.8125, 0]"
charges@have be drop against@jussie smollett,0,5,"[5.5, 0, 2.8125, 0]"
charges@have be drop against@jussie smollett,0,6,"[13.0, 0, 3.6875, 0]"
charges@have be drop against@jussie smollett,0,7,"[3.0, 0, 1.4375, 0]"
charges@have be drop against@jussie smollett,0,8,"[5.5, 0, 2.875, 0]"
charges@have be drop against@jussie smollett,0,9,"[0, 0, 0.8125, 0]"
charges@have be drop against@jussie smollett,0,10,"[0, 0, 0.0625, 0]"
charges@have be drop against@jussie smollett,0,11,"[1.0, 0, 0.875, 0]"
charges@have be drop against@jussie smollett,0,12,"[0, 0, 0.25, 0]"
charges@have be drop against@jussie smollett,0,14,"[0, 0, 0.125, 0]"
charges@have be drop against@jussie smollett,0,15,"[1.0, 0, 0.875, 0]"
charges@have be drop against@jussie smollett,0,16,"[1.5, 0, 2.5, 0]"
charges@have be drop against@jussie smollett,0,17,"[4.5, 0, 4.5, 0]"
charges@have be drop against@jussie smollett,0,18,"[5.0, 0, 6.5625, 0]"
charges@have be drop against@jussie smollett,0,19,"[2.0, 0, 3.5, 0]"
charges@have be drop against@jussie smollett,0,20,"[9.5, 0, 9.375, 0]"
charges@have be drop against@jussie smollett,0,21,"[5.5, 0, 7.25, 0]"
charges@have be drop against@jussie smollett,0,22,"[6.0, 0, 6.375, 0]"
charges@have be drop against@jussie smollett,0,23,"[8.0, 0, 9.4375, 1.25]"
charges@have be drop against@jussie smollett,0,24,"[24.0, 43.47826086956522, 23.4375, 3.75]"
charges@have be drop against@jussie smollett,0,25,"[12.5, 0, 18.75, 5.0]"
charges@have be drop against@jussie smollett,0,26,"[4.0, 0, 6.0, 0]"
charges@have be drop against@jussie smollett,0,27,"[0, 0, 2.5625, 0]"
charges@have be drop against@jussie smollett,0,28,"[0.5, 0, 3.75, 1.25]"
charges@have be drop against@jussie smollett,0,29,"[1.5, 0, 1.6875, 0]"
charges@have be drop against@jussie smollett,0,30,"[1.0, 0, 1.4375, 0]"
charges@have be drop against@jussie smollett,0,31,"[1.0, 0, 1.9375, 0]"
charges@have be drop against@jussie smollett,0,32,"[0, 0, 2.1875, 2.5]"
charges@have be drop against@jussie smollett,0,33,"[0, 0, 0.375, 0]"
charges@have be drop against@jussie smollett,0,34,"[0, 0, 0.125, 0]"
charges@have be drop against@jussie smollett,0,35,"[0.5, 0, 0.0625, 0]"
charges@have be drop against@jussie smollett,0,36,"[1.0, 0, 0.5625, 0]"
charges@have be drop against@jussie smollett,0,37,"[0.5, 0, 0.375, 0]"
charges@have be drop against@jussie smollett,0,38,"[1.0, 0, 0.75, 0]"
charges@have be drop against@jussie smollett,0,39,"[3.0, 43.47826086956522, 8.0, 6.25]"
charges@have be drop against@jussie smollett,0,40,"[3.5, 0, 6.0, 5.0]"
charges@have be drop against@jussie smollett,0,41,"[0, 0, 0.4375, 1.25]"
charges@have be drop against@jussie smollett,0,42,"[0, 0, 2.9375, 2.5]"
charges@have be drop against@jussie smollett,0,43,"[1.0, 43.47826086956522, 4.6875, 5.0]"
charges@have be drop against@jussie smollett,0,44,"[0.5, 0, 1.5625, 2.5]"
charges@have be drop against@jussie smollett,0,45,"[0, 0, 3.5, 3.75]"
photo@be arrest@10,1,2,"[0.5, 0, 0.125, 0]"
photo@be arrest@10,1,3,"[0.5, 0, 0, 0]"
photo@be arrest@10,1,4,"[0.5, 0, 0.0625, 0]"
photo@be arrest@10,1,5,"[0.5, 0, 0.1875, 0]"
photo@be arrest@10,1,9,"[0.5, 0, 0.125, 0]"
photo@be arrest@10,1,16,"[0, 43.47826086956522, 0, 0]"
photo@be arrest@10,1,18,"[0, 0, 0.0625, 0]"
photo@be arrest@10,1,20,"[0, 0, 0.125, 0]"
photo@be arrest@10,1,24,"[0, 0, 0.125, 0]"
photo@be arrest@10,1,25,"[0, 0, 0.0625, 0]"
photo@be arrest@10,1,37,"[0, 0, 0.0625, 0]"
photo@be arrest@10,1,38,"[0, 0, 0.0625, 0]"
photo@be arrest@10,1,39,"[0, 0, 0.0625, 0]"
first episodes@be one of@scene,2,2,"[0.5, 0, 0.0625, 0]"
first episodes@be one of@scene,2,3,"[0, 0, 0.0625, 0]"
first episodes@be one of@scene,2,16,"[0.5, 43.47826086956522, 0.125, 0]"
first episodes@be one of@scene,2,17,"[0.5, 0, 0, 0]"
first episodes@be one of@scene,2,18,"[0, 0, 0.125, 0]"
first episodes@be one of@scene,2,19,"[0, 0, 0.125, 0]"
first episodes@be one of@scene,2,21,"[0, 0, 0.125, 0]"
first episodes@be one of@scene,2,22,"[0.5, 0, 0, 0]"
first episodes@be one of@scene,2,24,"[0, 0, 0.125, 0]"
first episodes@be one of@scene,2,25,"[0, 0, 0.125, 0]"
first episodes@be one of@scene,2,30,"[0, 0, 0.0625, 0]"
actor@be investigate@jamal lyon,3,2,"[10.0, 0, 3.25, 0]"
actor@be investigate@jamal lyon,3,3,"[2.0, 43.47826086956522, 2.3125, 0]"
actor@be investigate@jamal lyon,3,4,"[4.5, 0, 1.375, 0]"
actor@be investigate@jamal lyon,3,5,"[0, 0, 0.4375, 0]"
actor@be investigate@jamal lyon,3,6,"[2.0, 0, 0.5625, 0]"
actor@be investigate@jamal lyon,3,8,"[1.5, 0, 1.125, 0]"
actor@be investigate@jamal lyon,3,9,"[0.5, 0, 0.0625, 0]"
actor@be investigate@jamal lyon,3,11,"[0, 0, 0.375, 0]"
actor@be investigate@jamal lyon,3,15,"[0, 0, 0.0625, 0]"
actor@be investigate@jamal lyon,3,16,"[0, 0, 0.25, 0]"
actor@be investigate@jamal lyon,3,17,"[0, 0, 0.6875, 0]"
actor@be investigate@jamal lyon,3,18,"[0, 0, 1.125, 0]"
actor@be investigate@jamal lyon,3,19,"[1.0, 0, 0.8125, 0]"
actor@be investigate@jamal lyon,3,20,"[2.0, 0, 2.0625, 0]"
actor@be investigate@jamal lyon,3,21,"[2.0, 0, 1.25, 0]"
actor@be investigate@jamal lyon,3,22,"[3.0, 0, 0.9375, 1.25]"
actor@be investigate@jamal lyon,3,23,"[0.5, 0, 1.8125, 0]"
actor@be investigate@jamal lyon,3,24,"[4.0, 43.47826086956522, 5.8125, 1.25]"
actor@be investigate@jamal lyon,3,25,"[1.0, 0, 4.6875, 1.25]"
actor@be investigate@jamal lyon,3,26,"[0, 0, 1.3125, 0]"
actor@be investigate@jamal lyon,3,27,"[0, 0, 0.5, 0]"
actor@be investigate@jamal lyon,3,28,"[0, 0, 0.75, 0]"
actor@be investigate@jamal lyon,3,29,"[0, 0, 0.3125, 0]"
actor@be investigate@jamal lyon,3,30,"[0, 0, 0.0625, 0]"
actor@be investigate@jamal lyon,3,31,"[0, 0, 0.1875, 0]"
actor@be investigate@jamal lyon,3,32,"[0, 0, 0.3125, 0]"
actor@be investigate@jamal lyon,3,34,"[0, 0, 0.0625, 0]"
actor@be investigate@jamal lyon,3,36,"[0, 0, 0.0625, 0]"
actor@be investigate@jamal lyon,3,37,"[0, 0, 0.3125, 0]"
actor@be investigate@jamal lyon,3,39,"[0.5, 0, 1.6875, 0]"
actor@be investigate@jamal lyon,3,40,"[1.0, 0, 1.0, 0]"
actor@be investigate@jamal lyon,3,41,"[0, 0, 0.0625, 0]"
actor@be investigate@jamal lyon,3,42,"[0.5, 0, 0.5625, 0]"
actor@be investigate@jamal lyon,3,43,"[0, 0, 1.0625, 0]"
actor@be investigate@jamal lyon,3,44,"[1.0, 0, 0.4375, 0]"
actor@be investigate@jamal lyon,3,45,"[0, 0, 1.0, 0]"
police@be investigate@assault,4,2,"[10.0, 0, 2.8125, 0]"
police@be investigate@assault,4,3,"[9.5, 0, 5.4375, 2.5]"
police@be investigate@assault,4,4,"[4.0, 0, 2.75, 0]"
police@be investigate@assault,4,5,"[1.0, 0, 1.125, 0]"
police@be investigate@assault,4,6,"[1.0, 0, 0.8125, 1.25]"
police@be investigate@assault,4,7,"[0.5, 0, 0.3125, 0]"
police@be investigate@assault,4,8,"[1.5, 0, 1.625, 0]"
police@be investigate@assault,4,9,"[0.5, 0, 0, 0]"
police@be investigate@assault,4,10,"[0, 0, 0.0625, 0]"
police@be investigate@assault,4,11,"[0, 0, 0.3125, 0]"
police@be investigate@assault,4,12,"[0, 0, 0.25, 0]"
police@be investigate@assault,4,14,"[0, 0, 0.0625, 0]"
police@be investigate@assault,4,15,"[0, 0, 1.0, 0]"
police@be investigate@assault,4,16,"[0, 0, 1.3125, 0]"
police@be investigate@assault,4,17,"[2.0, 0, 2.25, 0]"
police@be investigate@assault,4,18,"[3.5, 0, 4.875, 0]"
